t2_mean_log10,t2_std_log10,DEPTH(m)
1.5967689436285462,0.9614848454288734,4.1388
1.5511031936942845,0.981089369467463,4.2912
1.516774332955918,0.9969984657099409,4.4436
1.520161328503333,0.9953856720786876,4.596
1.4983176209726088,1.0059489177362841,4.7484
1.4745910517600007,1.0178480136937587,4.9008
1.4488472722819594,1.0312423459009854,5.0532
1.42115327024193,1.0461917126516402,5.2056
1.3978577587741765,1.059183506023682,5.358
1.3692088891949936,1.0756614003163238,5.5104
1.3433760202999616,1.090973602060823,5.6628
1.3032098963001981,1.1155936628405971,5.8152
1.2864979211379437,1.126115430607294,5.9676
1.2693526700495092,1.1370728757467072,6.12
1.2528661023278025,1.1477605869013312,6.2724
1.2261975913008119,1.1653522658678923,6.4248
1.2075523485790212,1.1778664361642768,6.5772
1.198372724889362,1.1840905357698164,6.7296
1.1873544464807109,1.1916149779153333,6.882
1.17540270835719,1.1998418816387073,7.0344
1.1664695124959212,1.2060343580618875,7.1868
1.1667158873108565,1.2058630798584027,7.3392
1.1719420452711204,1.2022364443053524,7.4916
1.1873867043414934,1.1915928643658102,7.644
1.2191773070681435,1.1700437189480646,7.7964
1.2076049672550182,1.1778308774241473,7.9488
1.2172480106762071,1.171337345000184,8.1012
1.217712617279487,1.171025648423696,8.2536
1.214947909980159,1.1728820272252438,8.406
1.2202921077974722,1.1692970748346585,8.5584
1.236820018973198,1.1583011650325172,8.7108
1.2551735803746296,1.1462559570930613,8.8632
1.265528883513701,1.1395386639865108,9.0156
1.2707405694276432,1.1361798510074201,9.168
1.2663455133175066,1.1390113891890543,9.3204
1.2689567206349317,1.1373278366099313,9.4728
1.2799600349424443,1.130274555655001,9.6252
1.2870578270664486,1.1257603538952945,9.7776
1.2968844145402878,1.11955742878075,9.93
1.3010907258818207,1.116919047339663,10.0824
1.2919435927093224,1.122669430296075,10.2348
1.2879757303796204,1.1251786263816046,10.3872
1.2890683214426004,1.1244868074210248,10.5396
1.291827062957403,1.1227429945299503,10.692
1.2860232379268846,1.126416599289494,10.8444
1.2851577379470056,1.1269660517557412,10.9968
1.2843952277457042,1.1274504700092611,11.1492
1.2845715528814945,1.1273384227647891,11.3016
1.2741823981525817,1.1339698015455595,11.454
1.2676563285405884,1.1381657894233954,11.6064
1.2554580386773873,1.1460706672668424,11.7588
1.2551757790734053,1.1462545247442844,11.9112
1.2516885244140996,1.1485295349149651,12.0636
1.238440614960436,1.1572305145379986,12.216
1.2325982569641156,1.1610966337539426,12.3684
1.2304722720607773,1.1625078288453463,12.5208
1.2337284710483987,1.1603473573297558,12.6732
1.2284353473984235,1.1638620705492888,12.8256
1.2163320517442782,1.171952161372909,12.978
1.2110121228400743,1.1755312809565686,13.1304
1.2067434714829117,1.1784132313702338,13.2828
1.212760206483649,1.1743536657090066,13.4352
1.2076818440580053,1.1777789279268265,13.5876
1.2076288486857107,1.1778147392376128,13.74
1.211138077759611,1.175446379612289,13.8924
1.205490154544789,1.1792610976419322,14.0448
1.2024847857585772,1.181297348195075,14.1972
1.1958355348350633,1.1858180419978004,14.3496
1.1875099660532087,1.1915083700004818,14.502
1.1907647884787742,1.1892798397004012,14.6544
