DEPTH(m),RHOB(g_cm^3),DRHO,DRRT,PEF,IDRO,IDDR,IDPE,MRP_T2(%),BFV_T2(%),FFV_T2(%),T2LM_T2(ms),TNPH(%),GR(gAPI)
112.6476,1.8861,0.0477,0.1694,3.5812,1.8835,0.0089,3.8684,39.1792,39.1323,0.0469,2.7802,54.1341,75.8939
112.8,1.8798,0.0484,0.1593,3.6611,1.8837,0.0153,4.0154,38.9974,38.9974,0.0,2.7614,55.878,76.0394
112.9524,1.8779,0.0476,0.1814,3.5675,1.8822,0.0095,3.8721,38.586,38.586,0.0,2.7408,55.7915,74.9104
113.1048,1.8743,0.0469,0.1897,3.4904,1.879,0.0046,3.6324,38.495,38.495,0.0,2.724,54.7434,72.4657
113.2572,1.883,0.0527,0.1981,3.4275,1.8759,0.0042,3.5699,37.919,37.872,0.0469,2.8312,51.2399,71.2181
113.4096,1.886,0.0508,0.1663,3.4566,1.8876,0.0131,3.6658,38.13,37.9865,0.1434,2.842,49.76,71.8294
113.562,1.891,0.0459,0.1398,3.4601,1.8823,0.0053,3.563,37.9641,37.9641,0.0,2.746,49.8271,71.5851
113.7144,1.8924,0.0405,0.1318,3.5109,1.8933,0.008,3.62,38.062,37.8167,0.2453,2.8738,51.2115,71.9458
113.8668,1.8997,0.0396,0.1383,3.5228,1.8968,0.0068,3.7076,38.0701,37.8193,0.2508,2.8994,54.1106,72.1208
114.0192,1.9026,0.0397,0.1364,3.5801,1.9157,0.0255,3.4237,38.7395,38.2294,0.5101,3.0048,57.0307,72.0518
114.1716,1.911,0.0416,0.13,3.4269,1.9127,0.0133,3.7716,38.7001,38.4784,0.2217,2.8011,58.7028,73.6113
114.324,1.9123,0.046,0.1416,3.3319,1.9292,0.024,3.5788,38.8691,38.8691,0.0,2.6863,56.8372,75.5596
114.4764,1.9136,0.048,0.1766,3.278,1.9324,0.0183,3.5136,39.1561,39.0572,0.0989,2.6639,54.2144,76.7055
114.6288,1.8967,0.044,0.1932,3.3737,1.916,0.0102,3.5921,38.9054,38.7782,0.1273,2.7172,54.6746,73.6129
114.7812,1.9109,0.0617,0.1713,3.3581,1.9335,0.0299,3.6148,39.042,39.042,0.0,2.6976,53.0574,72.4891
114.9336,1.8643,0.0444,0.1539,3.4252,1.8896,0.0151,3.6075,39.3038,39.3038,0.0,2.6594,53.2751,72.605
115.086,1.8807,0.0503,0.1555,3.4065,1.8982,0.0221,3.5864,39.1874,39.1874,0.0,2.7011,51.8824,75.341
115.2384,1.8672,0.0367,0.1745,3.514,1.8694,0.0049,3.7381,39.3189,39.3189,0.0,2.7554,53.7694,74.6529
115.3908,1.9172,0.0596,0.1756,3.4718,1.9226,0.0287,3.7055,39.1926,39.1926,0.0,2.7547,53.3316,74.3769
115.5432,1.909,0.0581,0.1652,3.5238,1.9121,0.026,3.636,39.0123,39.0123,0.0,2.7577,52.4405,75.0076
115.6956,1.9168,0.0616,0.1481,3.4667,1.9276,0.0331,3.6293,38.8042,38.8042,0.0,2.7682,52.5696,73.5997
115.848,1.9164,0.0563,0.1241,3.3811,1.9238,0.0304,3.4258,38.6252,38.6252,0.0,2.788,51.026,74.451
116.0004,1.9304,0.0684,0.1228,3.3075,1.9308,0.0409,3.2746,38.5819,38.5508,0.0312,2.8862,52.0974,73.2576
116.1528,1.9349,0.0755,0.1259,3.307,1.9226,0.0417,3.3815,38.7358,38.535,0.2008,3.0816,52.7688,74.8827
116.3052,1.9321,0.0811,0.1411,3.3293,1.9233,0.044,3.2938,39.6498,39.1927,0.4571,3.213,55.336,73.8921
116.4576,1.9263,0.0773,0.138,3.381,1.9419,0.0565,3.5464,39.7731,39.1658,0.6072,3.287,53.86,73.2728
116.61,1.9187,0.07,0.127,3.3974,1.9435,0.0576,3.5968,40.0541,39.5016,0.5524,3.2269,53.0198,72.1893
116.7624,1.9275,0.0717,0.128,3.4097,1.9461,0.0552,3.5524,39.377,38.9781,0.3989,3.1397,53.0355,72.9729
116.9148,1.9318,0.0779,0.1307,3.3971,1.9331,0.0512,3.6753,39.2429,38.7726,0.4703,3.254,52.9321,73.0373
117.0672,1.9338,0.0864,0.1334,3.3618,1.9426,0.061,3.5146,39.5354,38.8778,0.6575,3.4412,52.0842,73.9281
117.2196,1.9315,0.0934,0.1348,3.3271,1.9429,0.0693,3.4675,39.5494,39.0506,0.4989,3.2916,52.1115,73.509
117.372,1.932,0.0986,0.1303,3.2738,1.9605,0.0807,3.4463,39.5506,39.0153,0.5353,3.2884,51.7789,74.2867
117.5244,1.9286,0.0995,0.1409,3.3014,1.9501,0.0759,3.4257,38.9711,38.6336,0.3376,3.2359,51.6131,74.9941
117.6768,1.9255,0.0955,0.1393,3.2778,1.9552,0.0762,3.3351,38.5069,38.1698,0.337,3.1996,52.3215,72.3517
117.8292,1.9178,0.0825,0.1314,3.3025,1.9371,0.0614,3.2559,38.0345,37.9666,0.068,3.011,54.3435,71.671
117.9816,1.9234,0.0783,0.1271,3.3233,1.9442,0.0596,3.1994,37.8222,37.5385,0.2836,3.1033,55.5135,71.4367
118.134,1.9361,0.0817,0.1154,3.4398,1.9586,0.0659,3.3546,37.2226,37.2226,0.0,2.9184,51.5401,74.1782
118.2864,1.9431,0.0857,0.1203,3.4554,1.9556,0.0662,3.3476,36.8832,36.6742,0.209,3.0663,51.3976,74.0677
118.4388,1.9673,0.1032,0.0886,3.2998,1.9891,0.097,3.2285,37.2489,37.073,0.1759,3.1052,49.1326,71.6024
118.5912,1.9419,0.0923,0.075,3.1711,1.9503,0.0822,3.0933,36.6854,36.6854,0.0,2.9893,50.4635,69.6407
118.7436,1.9593,0.0813,0.0634,3.1458,1.9633,0.0675,2.9592,36.5425,36.5425,0.0,2.9485,47.9764,68.6486
118.896,1.962,0.0678,0.0561,3.2103,1.9746,0.0584,3.067,36.1854,36.1854,0.0,3.0639,49.2268,68.7152
119.0484,1.9977,0.0732,0.0393,3.2131,2.0178,0.0742,3.1959,35.3836,35.3836,0.0,3.0477,48.8945,69.2551
119.2008,1.9986,0.0799,0.0348,3.1656,2.0188,0.084,3.1389,35.3186,35.3186,0.0,3.0023,48.0271,67.5473
119.3532,1.9958,0.0734,0.0265,3.1926,2.0042,0.073,3.114,35.2914,35.2914,0.0,2.9353,45.6785,67.8854
119.5056,2.0072,0.0709,0.033,3.2615,2.005,0.0621,3.134,35.3643,35.3643,0.0,2.9373,45.2201,68.1734
119.658,2.0063,0.0727,0.0345,3.3049,2.0003,0.0626,3.1851,35.0991,35.0991,0.0,3.0005,46.1943,67.9694
119.8104,1.9998,0.0729,0.0404,3.3314,2.0037,0.0646,3.163,35.0872,35.0872,0.0,3.0456,47.8252,69.4587
119.9628,2.0003,0.0785,0.0346,3.2939,2.0166,0.0823,3.1887,34.8262,34.8262,0.0,3.1336,50.0417,68.7104
120.1152,2.0106,0.0941,0.0303,3.2276,2.0186,0.0896,3.0509,34.8235,34.8235,0.0,3.0954,52.6965,70.7477
120.2676,1.9995,0.104,0.0253,3.2435,2.0121,0.1025,3.0855,35.0284,35.0284,0.0,3.1099,52.528,68.866
120.42,1.9708,0.0968,0.0263,3.2482,1.9857,0.1025,3.1723,35.0669,35.0669,0.0,3.1221,50.5053,70.0654
120.5724,1.9468,0.0912,0.0269,3.2836,1.9528,0.0882,3.1297,35.2049,35.2049,0.0,2.967,47.9379,69.5962
120.7248,1.9103,0.0842,0.0301,3.3407,1.9194,0.0831,3.2141,35.8565,35.8565,0.0,2.9625,50.1841,71.4585
120.8772,1.8888,0.0905,0.0282,3.3084,1.8939,0.0894,3.3518,37.36,37.36,0.0,3.0007,51.5208,70.1326
121.0296,1.8567,0.091,0.0265,3.3645,1.8639,0.0923,3.4589,38.9971,38.9971,0.0,3.0357,51.7465,72.5807
121.182,1.8326,0.0823,0.0303,3.3122,1.8395,0.082,3.316,39.214,39.214,0.0,3.0519,51.4911,71.8022
121.3344,1.84,0.0856,0.0279,3.4009,1.8453,0.0831,3.5219,39.5425,39.5425,0.0,2.9772,51.5485,72.1893
121.4868,1.8588,0.075,0.0344,3.3372,1.8566,0.0686,3.3142,39.7713,39.7713,0.0,2.8879,53.5398,70.6004
121.6392,1.916,0.086,0.0404,3.317,1.9068,0.0779,3.3164,40.2398,40.2398,0.0,2.8257,54.3216,72.0133
121.7916,1.9337,0.0824,0.0444,3.1926,1.9296,0.0747,3.2661,40.2244,40.2244,0.0,2.8428,54.7938,73.4104
121.944,1.9348,0.0811,0.0473,3.209,1.939,0.0741,3.1871,40.0509,40.0509,0.0,2.8491,53.382,73.2201
122.0964,1.9327,0.0803,0.0577,3.1515,1.9297,0.0654,3.0831,40.3166,40.3166,0.0,2.8452,53.1259,73.1535
122.2488,1.9272,0.0775,0.0743,3.1778,1.9347,0.0664,3.0739,40.7826,40.7826,0.0,2.8882,53.337,76.1356
